ts_name,type,dt,n,freq_multiple
H62,H,0.001,700,1.4285714285714284
H63,H,0.001,700,1.4285714285714284
H64,H,0.001,700,1.4285714285714284
H65,H,0.001,700,1.4285714285714284
H66,H,0.001,700,1.4285714285714284
H67,H,0.001,700,1.4285714285714284
H68,H,0.001,700,1.4285714285714284
H69,H,0.001,700,1.4285714285714284
H70,H,0.001,700,1.4285714285714284
H71,H,0.001,700,1.4285714285714284
H72,H,0.001,700,1.4285714285714284
H73,H,0.001,700,1.4285714285714284
H74,H,0.001,700,1.4285714285714284
H75,H,0.001,700,1.4285714285714284
H76,H,0.001,700,1.4285714285714284
H77,H,0.001,700,1.4285714285714284
H78,H,0.001,700,1.4285714285714284
H79,H,0.001,700,1.4285714285714284
H80,H,0.001,700,1.4285714285714284
H81,H,0.001,700,1.4285714285714284
H82,H,0.001,700,1.4285714285714284
H83,H,0.001,700,1.4285714285714284
H84,H,0.001,700,1.4285714285714284
H85,H,0.001,700,1.4285714285714284
H86,H,0.001,700,1.4285714285714284
H87,H,0.001,700,1.4285714285714284
H88,H,0.001,700,1.4285714285714284
H89,H,0.001,700,1.4285714285714284
H90,H,0.001,700,1.4285714285714284
H91,H,0.001,700,1.4285714285714284
H92,H,0.001,700,1.4285714285714284
H93,H,0.001,700,1.4285714285714284
H94,H,0.001,700,1.4285714285714284
H95,H,0.001,700,1.4285714285714284
H96,H,0.001,700,1.4285714285714284
H97,H,0.001,700,1.4285714285714284
H98,H,0.001,700,1.4285714285714284
H99,H,0.001,700,1.4285714285714284
H100,H,0.001,700,1.4285714285714284
H101,H,0.001,700,1.4285714285714284
H102,H,0.001,700,1.4285714285714284
H103,H,0.001,700,1.4285714285714284
H104,H,0.001,700,1.4285714285714284
H105,H,0.001,700,1.4285714285714284
H106,H,0.001,700,1.4285714285714284
H107,H,0.001,700,1.4285714285714284
H108,H,0.001,700,1.4285714285714284
H109,H,0.001,700,1.4285714285714284
H110,H,0.001,700,1.4285714285714284
H111,H,0.001,700,1.4285714285714284
H112,H,0.001,700,1.4285714285714284
H113,H,0.001,700,1.4285714285714284
H114,H,0.001,700,1.4285714285714284
H115,H,0.001,700,1.4285714285714284
H116,H,0.001,700,1.4285714285714284
H117,H,0.001,700,1.4285714285714284
H118,H,0.001,700,1.4285714285714284
H119,H,0.001,700,1.4285714285714284
H120,H,0.001,700,1.4285714285714284
H121,H,0.001,700,1.4285714285714284
H122,H,0.001,700,1.4285714285714284
H123,H,0.001,700,1.4285714285714284
H124,H,0.001,700,1.4285714285714284
H125,H,0.001,700,1.4285714285714284
H126,H,0.001,700,1.4285714285714284
H127,H,0.001,700,1.4285714285714284
H128,H,0.001,700,1.4285714285714284
H129,H,0.001,700,1.4285714285714284
H130,H,0.001,700,1.4285714285714284
H131,H,0.001,700,1.4285714285714284
H132,H,0.001,700,1.4285714285714284
H133,H,0.001,700,1.4285714285714284
H134,H,0.001,700,1.4285714285714284
H135,H,0.001,700,1.4285714285714284
H136,H,0.001,700,1.4285714285714284
H137,H,0.001,700,1.4285714285714284
H138,H,0.001,700,1.4285714285714284
H139,H,0.001,700,1.4285714285714284
H140,H,0.001,700,1.4285714285714284
H141,H,0.001,700,1.4285714285714284
H142,H,0.001,700,1.4285714285714284
H143,H,0.001,700,1.4285714285714284
H144,H,0.001,700,1.4285714285714284
H145,H,0.001,700,1.4285714285714284
H146,H,0.001,700,1.4285714285714284
H147,H,0.001,700,1.4285714285714284
H148,H,0.001,700,1.4285714285714284
H149,H,0.001,700,1.4285714285714284
H150,H,0.001,700,1.4285714285714284
H151,H,0.001,700,1.4285714285714284
H152,H,0.001,700,1.4285714285714284
H153,H,0.001,700,1.4285714285714284
H154,H,0.001,700,1.4285714285714284
H155,H,0.001,700,1.4285714285714284
H156,H,0.001,700,1.4285714285714284
H157,H,0.001,700,1.4285714285714284
H158,H,0.001,700,1.4285714285714284
H159,H,0.001,700,1.4285714285714284
H160,H,0.001,700,1.4285714285714284
H161,H,0.001,700,1.4285714285714284
H162,H,0.001,700,1.4285714285714284
H163,H,0.001,700,1.4285714285714284
H164,H,0.001,700,1.4285714285714284
H165,H,0.001,700,1.4285714285714284
H166,H,0.001,700,1.4285714285714284
H167,H,0.001,700,1.4285714285714284
H168,H,0.001,700,1.4285714285714284
H169,H,0.001,700,1.4285714285714284
H170,H,0.001,960,1.0416666666666667
H171,H,0.001,960,1.0416666666666667
H172,H,0.001,960,1.0416666666666667
H173,H,0.001,960,1.0416666666666667
H174,H,0.001,960,1.0416666666666667
H175,H,0.001,960,1.0416666666666667
H176,H,0.001,960,1.0416666666666667
H177,H,0.001,960,1.0416666666666667
H178,H,0.001,960,1.0416666666666667
H179,H,0.001,960,1.0416666666666667
H180,H,0.001,960,1.0416666666666667
H181,H,0.001,960,1.0416666666666667
H182,H,0.001,960,1.0416666666666667
H183,H,0.001,960,1.0416666666666667
H184,H,0.001,960,1.0416666666666667
H185,H,0.001,960,1.0416666666666667
H186,H,0.001,960,1.0416666666666667
H187,H,0.001,960,1.0416666666666667
H188,H,0.001,960,1.0416666666666667
H189,H,0.001,960,1.0416666666666667
H190,H,0.001,960,1.0416666666666667
H191,H,0.001,960,1.0416666666666667
H192,H,0.001,960,1.0416666666666667
H193,H,0.001,960,1.0416666666666667
H194,H,0.001,960,1.0416666666666667
H195,H,0.001,960,1.0416666666666667
H196,H,0.001,960,1.0416666666666667
H197,H,0.001,960,1.0416666666666667
H198,H,0.001,960,1.0416666666666667
H199,H,0.001,960,1.0416666666666667
H200,H,0.001,960,1.0416666666666667
H201,H,0.001,960,1.0416666666666667
H202,H,0.001,960,1.0416666666666667
H203,H,0.001,960,1.0416666666666667
H204,H,0.001,960,1.0416666666666667
H205,H,0.001,960,1.0416666666666667
H206,H,0.001,960,1.0416666666666667
H207,H,0.001,960,1.0416666666666667
H208,H,0.001,960,1.0416666666666667
H209,H,0.001,960,1.0416666666666667
H210,H,0.001,960,1.0416666666666667
H211,H,0.001,960,1.0416666666666667
H212,H,0.001,960,1.0416666666666667
H213,H,0.001,960,1.0416666666666667
H214,H,0.001,960,1.0416666666666667
H215,H,0.001,960,1.0416666666666667
H216,H,0.001,960,1.0416666666666667
H217,H,0.001,960,1.0416666666666667
H218,H,0.001,960,1.0416666666666667
H219,H,0.001,960,1.0416666666666667
H220,H,0.001,960,1.0416666666666667
H221,H,0.001,960,1.0416666666666667
H222,H,0.001,960,1.0416666666666667
H223,H,0.001,960,1.0416666666666667
H224,H,0.001,960,1.0416666666666667
H225,H,0.001,960,1.0416666666666667
H226,H,0.001,960,1.0416666666666667
H227,H,0.001,960,1.0416666666666667
H228,H,0.001,960,1.0416666666666667
H229,H,0.001,960,1.0416666666666667
H230,H,0.001,960,1.0416666666666667
H231,H,0.001,960,1.0416666666666667
H232,H,0.001,960,1.0416666666666667
H233,H,0.001,960,1.0416666666666667
H234,H,0.001,960,1.0416666666666667
H235,H,0.001,960,1.0416666666666667
H236,H,0.001,960,1.0416666666666667
H237,H,0.001,960,1.0416666666666667
H238,H,0.001,960,1.0416666666666667
H239,H,0.001,960,1.0416666666666667
H240,H,0.001,960,1.0416666666666667
H241,H,0.001,960,1.0416666666666667
H242,H,0.001,960,1.0416666666666667
H243,H,0.001,960,1.0416666666666667
H244,H,0.001,960,1.0416666666666667
H245,H,0.001,960,1.0416666666666667
H246,H,0.001,960,1.0416666666666667
H247,H,0.001,960,1.0416666666666667
H248,H,0.001,960,1.0416666666666667
H249,H,0.001,960,1.0416666666666667
H250,H,0.001,960,1.0416666666666667
H251,H,0.001,960,1.0416666666666667
H252,H,0.001,960,1.0416666666666667
H253,H,0.001,960,1.0416666666666667
H254,H,0.001,960,1.0416666666666667
H255,H,0.001,960,1.0416666666666667
H256,H,0.001,960,1.0416666666666667
H257,H,0.001,960,1.0416666666666667
H258,H,0.001,960,1.0416666666666667
H259,H,0.001,960,1.0416666666666667
H260,H,0.001,960,1.0416666666666667
H261,H,0.001,960,1.0416666666666667
H262,H,0.001,960,1.0416666666666667
H263,H,0.001,960,1.0416666666666667
H264,H,0.001,960,1.0416666666666667
H265,H,0.001,960,1.0416666666666667
H266,H,0.001,960,1.0416666666666667
H267,H,0.001,960,1.0416666666666667
H268,H,0.001,960,1.0416666666666667
H269,H,0.001,960,1.0416666666666667
H270,H,0.001,960,1.0416666666666667
H271,H,0.001,960,1.0416666666666667
H272,H,0.001,960,1.0416666666666667
H273,H,0.001,960,1.0416666666666667
H274,H,0.001,960,1.0416666666666667
H275,H,0.001,960,1.0416666666666667
H276,H,0.001,960,1.0416666666666667
H277,H,0.001,960,1.0416666666666667
H278,H,0.001,960,1.0416666666666667
H279,H,0.001,960,1.0416666666666667
H280,H,0.001,960,1.0416666666666667
H281,H,0.001,960,1.0416666666666667
H282,H,0.001,960,1.0416666666666667
H283,H,0.001,960,1.0416666666666667
H284,H,0.001,960,1.0416666666666667
H285,H,0.001,960,1.0416666666666667
H286,H,0.001,960,1.0416666666666667
H287,H,0.001,960,1.0416666666666667
H288,H,0.001,960,1.0416666666666667
H289,H,0.001,960,1.0416666666666667
H290,H,0.001,960,1.0416666666666667
H291,H,0.001,960,1.0416666666666667
H292,H,0.001,960,1.0416666666666667
H293,H,0.001,960,1.0416666666666667
H294,H,0.001,960,1.0416666666666667
H295,H,0.001,960,1.0416666666666667
H296,H,0.001,960,1.0416666666666667
H297,H,0.001,960,1.0416666666666667
H298,H,0.001,960,1.0416666666666667
H299,H,0.001,960,1.0416666666666667
H300,H,0.001,960,1.0416666666666667
H301,H,0.001,960,1.0416666666666667
H302,H,0.001,960,1.0416666666666667
H303,H,0.001,960,1.0416666666666667
H304,H,0.001,960,1.0416666666666667
H305,H,0.001,960,1.0416666666666667
H306,H,0.001,960,1.0416666666666667
H307,H,0.001,960,1.0416666666666667
H308,H,0.001,960,1.0416666666666667
H309,H,0.001,960,1.0416666666666667
H310,H,0.001,960,1.0416666666666667
H311,H,0.001,960,1.0416666666666667
H312,H,0.001,960,1.0416666666666667
H313,H,0.001,960,1.0416666666666667
H314,H,0.001,960,1.0416666666666667
H315,H,0.001,960,1.0416666666666667
H316,H,0.001,960,1.0416666666666667
H317,H,0.001,960,1.0416666666666667
H318,H,0.001,960,1.0416666666666667
H319,H,0.001,960,1.0416666666666667
H320,H,0.001,960,1.0416666666666667
H321,H,0.001,960,1.0416666666666667
H322,H,0.001,960,1.0416666666666667
H323,H,0.001,960,1.0416666666666667
H324,H,0.001,960,1.0416666666666667
H325,H,0.001,960,1.0416666666666667
H326,H,0.001,960,1.0416666666666667
H327,H,0.001,960,1.0416666666666667
H328,H,0.001,960,1.0416666666666667
H329,H,0.001,960,1.0416666666666667
H330,H,0.001,960,1.0416666666666667
H331,H,0.001,960,1.0416666666666667
H332,H,0.001,960,1.0416666666666667
H333,H,0.001,960,1.0416666666666667
H334,H,0.001,960,1.0416666666666667
H335,H,0.001,960,1.0416666666666667
H336,H,0.001,960,1.0416666666666667
H337,H,0.001,960,1.0416666666666667
H338,H,0.001,960,1.0416666666666667
H339,H,0.001,960,1.0416666666666667
H340,H,0.001,960,1.0416666666666667
H341,H,0.001,960,1.0416666666666667
H342,H,0.001,960,1.0416666666666667
H343,H,0.001,960,1.0416666666666667
H344,H,0.001,960,1.0416666666666667
H345,H,0.001,960,1.0416666666666667
H346,H,0.001,960,1.0416666666666667
H347,H,0.001,960,1.0416666666666667
H348,H,0.001,960,1.0416666666666667
H349,H,0.001,960,1.0416666666666667
H350,H,0.001,960,1.0416666666666667
H351,H,0.001,960,1.0416666666666667
H352,H,0.001,960,1.0416666666666667
H353,H,0.001,960,1.0416666666666667
H354,H,0.001,960,1.0416666666666667
H355,H,0.001,960,1.0416666666666667
H356,H,0.001,960,1.0416666666666667
H357,H,0.001,960,1.0416666666666667
H358,H,0.001,960,1.0416666666666667
H359,H,0.001,960,1.0416666666666667
H360,H,0.001,960,1.0416666666666667
H361,H,0.001,960,1.0416666666666667
H362,H,0.001,960,1.0416666666666667
H363,H,0.001,960,1.0416666666666667
H364,H,0.001,960,1.0416666666666667
H365,H,0.001,960,1.0416666666666667
H366,H,0.001,960,1.0416666666666667
H367,H,0.001,960,1.0416666666666667
H368,H,0.001,960,1.0416666666666667
H369,H,0.001,960,1.0416666666666667
H370,H,0.001,960,1.0416666666666667
H371,H,0.001,960,1.0416666666666667
H372,H,0.001,960,1.0416666666666667
H373,H,0.001,960,1.0416666666666667
H374,H,0.001,960,1.0416666666666667
H375,H,0.001,960,1.0416666666666667
H376,H,0.001,960,1.0416666666666667
H377,H,0.001,960,1.0416666666666667
H378,H,0.001,960,1.0416666666666667
H379,H,0.001,960,1.0416666666666667
H380,H,0.001,960,1.0416666666666667
H381,H,0.001,960,1.0416666666666667
H382,H,0.001,960,1.0416666666666667
H383,H,0.001,960,1.0416666666666667
H384,H,0.001,960,1.0416666666666667
H385,H,0.001,960,1.0416666666666667
H386,H,0.001,960,1.0416666666666667
H387,H,0.001,960,1.0416666666666667
H388,H,0.001,960,1.0416666666666667
H389,H,0.001,960,1.0416666666666667
H390,H,0.001,960,1.0416666666666667
H391,H,0.001,960,1.0416666666666667
H392,H,0.001,960,1.0416666666666667
H393,H,0.001,960,1.0416666666666667
H394,H,0.001,960,1.0416666666666667
H395,H,0.001,960,1.0416666666666667
H396,H,0.001,960,1.0416666666666667
H397,H,0.001,960,1.0416666666666667
H398,H,0.001,960,1.0416666666666667
H399,H,0.001,960,1.0416666666666667
H400,H,0.001,960,1.0416666666666667
H401,H,0.001,960,1.0416666666666667
H402,H,0.001,960,1.0416666666666667
H403,H,0.001,960,1.0416666666666667
H404,H,0.001,960,1.0416666666666667
H405,H,0.001,960,1.0416666666666667
H406,H,0.001,960,1.0416666666666667
H407,H,0.001,960,1.0416666666666667
H408,H,0.001,960,1.0416666666666667
H409,H,0.001,960,1.0416666666666667
H410,H,0.001,960,1.0416666666666667
H411,H,0.001,960,1.0416666666666667
H412,H,0.001,960,1.0416666666666667
H413,H,0.001,960,1.0416666666666667
H414,H,0.001,960,1.0416666666666667
D1,D,0.001,1006,0.9940357852882704
D2,D,0.001,1006,0.9940357852882704
D3,D,0.001,130,7.692307692307692
D4,D,0.001,169,5.9171597633136095
D5,D,0.001,156,6.410256410256411
D6,D,0.001,1006,0.9940357852882704
D7,D,0.001,1006,0.9940357852882704
D8,D,0.001,999,1.001001001001001
D9,D,0.001,999,1.001001001001001
D10,D,0.001,674,1.4836795252225519
D11,D,0.001,1006,0.9940357852882704
D12,D,0.001,1006,0.9940357852882704
D13,D,0.001,1006,0.9940357852882704
D14,D,0.001,1006,0.9940357852882704
D15,D,0.001,1006,0.9940357852882704
D16,D,0.001,1006,0.9940357852882704
D17,D,0.001,1006,0.9940357852882704
D18,D,0.001,1006,0.9940357852882704
D19,D,0.001,1006,0.9940357852882704
D20,D,0.001,1006,0.9940357852882704
D21,D,0.001,1006,0.9940357852882704
D22,D,0.001,673,1.4858841010401187
D23,D,0.001,673,1.4858841010401187
D24,D,0.001,673,1.4858841010401187
D25,D,0.001,673,1.4858841010401187
D26,D,0.001,673,1.4858841010401187
D27,D,0.001,673,1.4858841010401187
D28,D,0.001,849,1.1778563015312131
D29,D,0.001,1006,0.9940357852882704
D30,D,0.001,849,1.1778563015312131
D31,D,0.001,1006,0.9940357852882704
D32,D,0.001,1006,0.9940357852882704
D33,D,0.001,1006,0.9940357852882704
D34,D,0.001,1006,0.9940357852882704
D35,D,0.001,1006,0.9940357852882704
D36,D,0.001,1006,0.9940357852882704
D37,D,0.001,143,6.9930069930069925
D38,D,0.001,225,4.444444444444445
D39,D,0.001,244,4.098360655737705
D40,D,0.001,165,6.0606060606060606
D41,D,0.001,239,4.184100418410042
D42,D,0.001,262,3.8167938931297707
D43,D,0.001,219,4.566210045662101
D44,D,0.001,1006,0.9940357852882704
D45,D,0.001,224,4.464285714285714
D46,D,0.001,97,10.309278350515463
D47,D,0.001,160,6.25
D48,D,0.001,601,1.663893510815308
D49,D,0.001,544,1.838235294117647
D50,D,0.001,860,1.1627906976744187
D51,D,0.001,97,10.309278350515463
D52,D,0.001,219,4.566210045662101
D53,D,0.001,224,4.464285714285714
D54,D,0.001,224,4.464285714285714
D55,D,0.001,1006,0.9940357852882704
D56,D,0.001,956,1.0460251046025104
D57,D,0.001,219,4.566210045662101
D58,D,0.001,219,4.566210045662101
D59,D,0.001,155,6.451612903225807
D60,D,0.001,456,2.1929824561403506
D61,D,0.001,155,6.451612903225807
D62,D,0.001,131,7.633587786259541
D63,D,0.001,175,5.7142857142857135
D64,D,0.001,1006,0.9940357852882704
D65,D,0.001,177,5.649717514124294
D66,D,0.001,1006,0.9940357852882704
D67,D,0.001,154,6.4935064935064934
D68,D,0.001,134,7.462686567164178
D69,D,0.001,178,5.617977528089888
D70,D,0.001,1006,0.9940357852882704
D71,D,0.001,160,6.25
D72,D,0.001,219,4.566210045662101
D73,D,0.001,160,6.25
D74,D,0.001,97,10.309278350515463
D75,D,0.001,160,6.25
D76,D,0.001,97,10.309278350515463
D77,D,0.001,224,4.464285714285714
D78,D,0.001,224,4.464285714285714
D79,D,0.001,160,6.25
D80,D,0.001,97,10.309278350515463
D81,D,0.001,160,6.25
D82,D,0.001,219,4.566210045662101
D83,D,0.001,151,6.622516556291391
D84,D,0.001,224,4.464285714285714
D85,D,0.001,460,2.1739130434782608
D86,D,0.001,589,1.697792869269949
D87,D,0.001,555,1.8018018018018016
D88,D,0.001,555,1.8018018018018016
D89,D,0.001,555,1.8018018018018016
D90,D,0.001,555,1.8018018018018016
D91,D,0.001,555,1.8018018018018016
D92,D,0.001,555,1.8018018018018016
D93,D,0.001,555,1.8018018018018016
D94,D,0.001,555,1.8018018018018016
D95,D,0.001,555,1.8018018018018016
D96,D,0.001,555,1.8018018018018016
D97,D,0.001,555,1.8018018018018016
D98,D,0.001,436,2.293577981651376
D99,D,0.001,1006,0.9940357852882704
D100,D,0.001,1006,0.9940357852882704
D101,D,0.001,1006,0.9940357852882704
D102,D,0.001,1006,0.9940357852882704
D103,D,0.001,1006,0.9940357852882704
D104,D,0.001,1006,0.9940357852882704
D105,D,0.001,1006,0.9940357852882704
D106,D,0.001,1006,0.9940357852882704
D107,D,0.001,1006,0.9940357852882704
D108,D,0.001,921,1.0857763300760044
D109,D,0.001,921,1.0857763300760044
D110,D,0.001,921,1.0857763300760044
D111,D,0.001,1006,0.9940357852882704
D112,D,0.001,1006,0.9940357852882704
D113,D,0.001,1006,0.9940357852882704
D114,D,0.001,1006,0.9940357852882704
D115,D,0.001,1006,0.9940357852882704
D116,D,0.001,1006,0.9940357852882704
D117,D,0.001,1006,0.9940357852882704
D118,D,0.001,1006,0.9940357852882704
D119,D,0.001,1006,0.9940357852882704
D120,D,0.001,1006,0.9940357852882704
D121,D,0.001,1006,0.9940357852882704
D122,D,0.001,1006,0.9940357852882704
D123,D,0.001,1006,0.9940357852882704
D124,D,0.001,1006,0.9940357852882704
D125,D,0.001,1006,0.9940357852882704
D126,D,0.001,1006,0.9940357852882704
D127,D,0.001,1006,0.9940357852882704
D128,D,0.001,741,1.349527665317139
D129,D,0.001,741,1.349527665317139
D130,D,0.001,1211,0.8257638315441783
D131,D,0.001,1023,0.9775171065493645
D132,D,0.001,319,3.134796238244514
D133,D,0.001,169,5.9171597633136095
D134,D,0.001,136,7.352941176470588
D135,D,0.001,140,7.142857142857142
D136,D,0.001,110,9.090909090909092
D137,D,0.001,158,6.329113924050633
D138,D,0.001,258,3.875968992248062
D139,D,0.001,189,5.291005291005291
D140,D,0.001,130,7.692307692307692
D141,D,0.001,802,1.2468827930174562
D142,D,0.001,701,1.426533523537803
D143,D,0.001,802,1.2468827930174562
D144,D,0.001,674,1.4836795252225519
D145,D,0.001,1429,0.6997900629811057
D146,D,0.001,4315,0.2317497103128621
D147,D,0.001,4315,0.2317497103128621
D148,D,0.001,4315,0.2317497103128621
D149,D,0.001,4315,0.2317497103128621
D150,D,0.001,954,1.0482180293501047
D151,D,0.001,954,1.0482180293501047
D152,D,0.001,4315,0.2317497103128621
D153,D,0.001,4315,0.2317497103128621
D154,D,0.001,4315,0.2317497103128621
D155,D,0.001,4315,0.2317497103128621
D156,D,0.001,4315,0.2317497103128621
D157,D,0.001,4315,0.2317497103128621
D158,D,0.001,4315,0.2317497103128621
D159,D,0.001,4315,0.2317497103128621
D160,D,0.001,4411,0.22670596236681023
D161,D,0.001,4411,0.22670596236681023
D162,D,0.001,4411,0.22670596236681023
D163,D,0.001,4411,0.22670596236681023
D164,D,0.001,4411,0.22670596236681023
D165,D,0.001,4411,0.22670596236681023
D166,D,0.001,98,10.204081632653061
D167,D,0.001,119,8.403361344537814
D168,D,0.001,144,6.944444444444444
D169,D,0.001,115,8.695652173913043
D170,D,0.001,682,1.4662756598240467
D171,D,0.001,682,1.4662756598240467
D172,D,0.001,682,1.4662756598240467
D173,D,0.001,682,1.4662756598240467
D174,D,0.001,292,3.4246575342465757
D175,D,0.001,904,1.1061946902654867
D176,D,0.001,681,1.4684287812041115
D177,D,0.001,681,1.4684287812041115
D178,D,0.001,681,1.4684287812041115
D179,D,0.001,673,1.4858841010401187
D180,D,0.001,673,1.4858841010401187
D181,D,0.001,673,1.4858841010401187
D182,D,0.001,673,1.4858841010401187
D183,D,0.001,681,1.4684287812041115
D184,D,0.001,681,1.4684287812041115
D185,D,0.001,681,1.4684287812041115
D186,D,0.001,681,1.4684287812041115
D187,D,0.001,680,1.4705882352941175
D188,D,0.001,680,1.4705882352941175
D189,D,0.001,680,1.4705882352941175
D190,D,0.001,681,1.4684287812041115
D191,D,0.001,681,1.4684287812041115
D192,D,0.001,681,1.4684287812041115
D193,D,0.001,491,2.0366598778004072
D194,D,0.001,302,3.3112582781456954
D195,D,0.001,302,3.3112582781456954
D196,D,0.001,302,3.3112582781456954
D197,D,0.001,737,1.3568521031207599
D198,D,0.001,737,1.3568521031207599
D199,D,0.001,737,1.3568521031207599
D200,D,0.001,737,1.3568521031207599
D201,D,0.001,206,4.854368932038835
D202,D,0.001,300,3.3333333333333335
D203,D,0.001,300,3.3333333333333335
D204,D,0.001,300,3.3333333333333335
D205,D,0.001,210,4.761904761904762
D206,D,0.001,210,4.761904761904762
D207,D,0.001,434,2.3041474654377883
D208,D,0.001,680,1.4705882352941175
D209,D,0.001,680,1.4705882352941175
D210,D,0.001,680,1.4705882352941175
D211,D,0.001,680,1.4705882352941175
D212,D,0.001,301,3.3222591362126246
D213,D,0.001,301,3.3222591362126246
D214,D,0.001,301,3.3222591362126246
D215,D,0.001,301,3.3222591362126246
D216,D,0.001,205,4.878048780487805
D217,D,0.001,671,1.4903129657228018
D218,D,0.001,671,1.4903129657228018
D219,D,0.001,671,1.4903129657228018
D220,D,0.001,671,1.4903129657228018
D221,D,0.001,214,4.672897196261682
D222,D,0.001,528,1.8939393939393938
D223,D,0.001,289,3.4602076124567476
D224,D,0.001,276,3.623188405797101
D225,D,0.001,276,3.623188405797101
D226,D,0.001,177,5.649717514124294
D227,D,0.001,177,5.649717514124294
D228,D,0.001,177,5.649717514124294
D229,D,0.001,177,5.649717514124294
D230,D,0.001,176,5.6818181818181825
D231,D,0.001,366,2.73224043715847
D232,D,0.001,176,5.6818181818181825
D233,D,0.001,201,4.975124378109452
D234,D,0.001,175,5.7142857142857135
D235,D,0.001,300,3.3333333333333335
D236,D,0.001,300,3.3333333333333335
D237,D,0.001,300,3.3333333333333335
D238,D,0.001,300,3.3333333333333335
D239,D,0.001,176,5.6818181818181825
D240,D,0.001,176,5.6818181818181825
D241,D,0.001,176,5.6818181818181825
D242,D,0.001,177,5.649717514124294
D243,D,0.001,177,5.649717514124294
D244,D,0.001,177,5.649717514124294
D245,D,0.001,177,5.649717514124294
D246,D,0.001,176,5.6818181818181825
D247,D,0.001,366,2.73224043715847
D248,D,0.001,557,1.7953321364452421
D249,D,0.001,298,3.3557046979865772
D250,D,0.001,298,3.3557046979865772
D251,D,0.001,298,3.3557046979865772
D252,D,0.001,300,3.3333333333333335
D253,D,0.001,300,3.3333333333333335
D254,D,0.001,300,3.3333333333333335
D255,D,0.001,300,3.3333333333333335
D256,D,0.001,765,1.3071895424836601
D257,D,0.001,275,3.6363636363636362
D258,D,0.001,275,3.6363636363636362
D259,D,0.001,275,3.6363636363636362
D260,D,0.001,272,3.676470588235294
D261,D,0.001,272,3.676470588235294
D262,D,0.001,272,3.676470588235294
D263,D,0.001,245,4.081632653061225
D264,D,0.001,504,1.9841269841269842
D265,D,0.001,245,4.081632653061225
D266,D,0.001,275,3.6363636363636362
D267,D,0.001,275,3.6363636363636362
D268,D,0.001,275,3.6363636363636362
D269,D,0.001,275,3.6363636363636362
D270,D,0.001,196,5.1020408163265305
D271,D,0.001,196,5.1020408163265305
D272,D,0.001,196,5.1020408163265305
D273,D,0.001,196,5.1020408163265305
D274,D,0.001,218,4.587155963302752
D275,D,0.001,218,4.587155963302752
D276,D,0.001,218,4.587155963302752
D277,D,0.001,218,4.587155963302752
D278,D,0.001,253,3.952569169960474
D279,D,0.001,253,3.952569169960474
D280,D,0.001,253,3.952569169960474
D281,D,0.001,207,4.8309178743961345
D282,D,0.001,207,4.8309178743961345
D283,D,0.001,207,4.8309178743961345
D284,D,0.001,249,4.016064257028113
D285,D,0.001,775,1.2903225806451613
D286,D,0.001,178,5.617977528089888
